游戏名称,ISBN,安装包大小,游戏开发者,适龄提示,著作权人,出版单位,运营单位,批准文号,下载量,下载版本,应用空间,数据空间,运行空间,运行版本,评分,网文号,是否需要权限运行
龙族幻想,978-7-498-06059-4,1890.6M,深圳市腾讯计算机系统有限公司,16+,淮安祖龙科技有限公司,,0,国新出审[2019]636号,1087万,1.5.255,2150M,10366.67M,12516.67M,1.5.255,3.1,粤网文[2017]6138-1456号，（总）网出证（粤）字第057号,否
黑暗之潮：契约,978-7-498-08064-6,1820.2M,北京天马时空网络技术有限公司,16+,北京天马时空网络技术有限公司,北京掌趣科技股份有限公司,0,国新出审[2020]1866号,35万,2.0.0.5,2030M,1040M,3050M,2.0.0.5,2.5,（署）网出证（京）字第037号，软著登记号：2020SR0120750,是
开心消消乐,978-7-900801-88-3,260.6M,乐元素科技(北京)股份有限公司,12+,乐元素科技（北京）股份有限公司,华东理工大学电子音像出版社,0,新广出审[2017]6402号,18亿,1.108,333M,27.70M,361M,1.108,3.9,文网游备字[2014]M-CSG120号,否
欢乐斗地主,978-7-7979-8873-5,233.5M,深圳市腾讯计算机系统有限公司,12+,腾讯科技（深圳）有限公司,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,新广出审[2017]5360号,2亿,7.192.001,381M,91.93M,473M,7.192.001,1.7,粤网文[2014]0633-233号，文网游备字[2016]M-CSG0247号，（总）网出证（粤）字第057号,否
天天酷跑,978-7-7979-5444-0,596M,深圳市腾讯计算机系统有限公司,18+,腾讯科技（深圳）有限公司,深圳市腾讯计算机系统有限公司,0,新广出审[2017]1949号,509万,1.0.97.0,727M,244M,970M,1.0.97.0,2.6,粤网文[2017]6138-1456号，文网游备字[2015]M-CSG 1183号，（总）网出证（粤）字第057号,否
地下城堡2:黑暗觉醒,978-7-89988-863-6,195M,深圳市雷霆信息技术有限公司,16+,厦门淘金互动网络股份有限公司,厦门吉比特网络技术股份有限公司,深圳雷霆信息技术有限公司,新广出审[2016]1037号,369万,2.6.41,235M,13.64M,248M,2.6.41,4.6,文网游备字[2017]M-SLG 0128号,否
地下城堡3：魂之诗,978-7-498-08264-0,695.6M,深圳市雷霆信息技术有限公司,16+,厦门淘金互动网络股份有限公司,厦门雷霆互动网络有限公司,0,国新出审[2020]2379号,16万,1.1.22,824M,138M,960M,1.1.22,2.9,,否
贪婪洞窟2,978-7-498-02663-7,656.9M,深圳市雷霆信息技术有限公司,12+,成都阿瓦隆数字娱乐科技有限公司,北京中电电子出版社,0,新广出审[2017] 9780号,128万,3.8.2,738M,91.30M,829M,3.8.2,4.5,"文化部备案号:文网游备字[2018] M-RPG0353,网络文化经营许可证:粤网文[2017] 1280-064号",否
余烬风暴,978-7-498-06610-7,1980.1M,上海中清龙图软件有限公司,16+,北京中清龙图网络技术有限公司,北京中清龙图网络技术有限公司,,国新出审[2019]2102号,98万,1.1.4,2210M,4290M,6490M,1.1.4,3.1,,
一笔画,978-7-498-05973-4,68M,武汉市多比特信息科技有限公司,12+,武汉市多比特信息科技有限公司,天津电子出版社有限公司,0,国新出审[2019]558号,248万,1.22,104M,1.62M,105M,1.22,3.4,文网游备字[2018]M-CSG 0528号,否
重装上阵,978-7-498-06606-0,1157M,杭州网易雷火科技有限公司,12+,网易（杭州）网络有限公司,广州网易计算机系统有限公司,0,国新出审[2019]2098号,2360万,0.100.267,1300M,169M,1470M,0.100.267,3.6,,否
艾尔多战记,978-7-498-09189-5,377.1M,斧王网络,12+,重庆钒堡互娱科技有限公司,重庆华龙网集团股份有限公司,0,国新出审[2021]1041号,4万,2.0.2,499M,359M,858M,2.0.2,3.4,,否
非人学园,978-7-498-02997-3,2001.7M,杭州网易雷火科技有限公司,12+,网易（杭州）网络有限公司,广州网易计算机系统有限公司,0,新广出审[2017]10264号,1309万,4.3.55,2200M,1010M,3210M,4.3.55,3.4,文网游备字{2017]M-CSG 2554号，浙网文[2019]1372-138号,否
