井名称	工作站	井场名称	产液量	含水率	本日产油
35-231井	35-18工作站	吴35-231井场	0.97	50	0.417
35-233井	35-18工作站	吴35-231井场	3.45	60	1.173
铁46井	45-179工作站	吴铁46井场	0	72	0
铁45井	35-18工作站	吴铁45井场	0	50	0
35-227井	35-18工作站	吴铁60井场	0	20	0
35-236井	35-18工作站	吴35-231井场	3.79	60	1.292
35-219井	35-18工作站	吴35-216井场	0.44	6	0.348
35-224井	35-18工作站	吴铁60井场	0.54	5	0.433
35-238井	35-18工作站	吴35-231井场	0	80	0
45-134井	45-125工作站	吴铁34井场	0	100	0
45-133井	45-125工作站	吴铁34井场	0.54	28	0.331
35-228井	35-18工作站	吴铁60井场	0	100	0
45-236井	45-179工作站	吴铁37井场	0	100	0
45-211井	45-125工作站	吴45-208井场	0	45	0
45-212井	45-125工作站	吴45-208井场	0	80	0
35-200井	35-18工作站	吴铁60井场	1.08	5	0.875
35-256井	35-18工作站	吴35-256井场	0	100	0
铁44井	45-32工作站	吴铁44井场	0	20	0
铁48井	45-32工作站	吴铁48井场	0	10	0
铁56井	35-18工作站	吴铁56井场	0	75	0
铁51井	45-125工作站	吴铁51井场	0	80	0
铁58井	45-125工作站	吴铁58井场	0	24	0
50-167井	35-18工作站	吴50-167井场	1.72	10	1.317
50-168井	35-18工作站	吴50-167井场	7.13	55	2.729
铁69井	45-32工作站	吴铁69井场	3.35	80	0.57
洼72井	12-176工作站	吴洼72井场	0.75	5	0.603
铁53井	35-18工作站	吴铁53井场	0	100	0
铁57井	35-18工作站	吴铁57井场	0	75	0
45-231井	45-179工作站	吴铁37井场	0.97	6	0.774
45-233井	45-179工作站	吴铁37井场	0.66	22	0.433
铁47井	35-18工作站	"吴铁47井场
"	0	92	0
37-223井	37-24工作站	吴洼36井场	1.51	62	0.484
37-222井	37-24工作站	吴洼36井场	0	5	0
12-866井	12-176工作站	吴12-862井场	0	50	0
45-266井	45-125工作站	吴45-265井场	0	80	0
45-251井	45-32工作站	吴铁48井场	0	30	0
50-149井	50-68工作站	吴50-149井场	0.43	96	0.017
37-218井	37-101工作站	吴37-218井场	1.87	5	1.513
45-189井	45-125工作站	吴45-188井场	0	45	0
铁32井	35-18工作站	吴铁32井场	2.6	80	0.442
铁19井	45-32工作站	吴铁19井场	0	70	0
45-193井	45-179工作站	吴45-192井场	1.19	22	0.791
50-147井	50-68工作站	吴50-149井场	2.48	100	0
37-221井	37-101工作站	吴37-218井场	0	96	0
45-244井	45-125工作站	吴45-244井场	0	10	0
37-224井	37-101工作站	吴37-218井场	0	50	0
45-52井	45-32工作站	吴铁19井场	0	85	0
45-267井	45-125工作站	吴45-265井场	0	100	0
45-268井	45-125工作站	吴45-265井场	0	98	0
50-153井	50-68工作站	吴50-153井场	0	100	0
45-226井	45-179工作站	吴铁30井场	0	100	0
45-235井	45-179工作站	吴铁37井场	0	70	0
铁30井	45-179工作站	吴铁30井场	0	25	0
35-177井	35-18工作站	吴35-177井场	5.4	5	4.361
50-154井	50-68工作站	吴50-153井场	0.33	51	0.136
铁60井	35-18工作站	吴铁60井场	0.54	8	0.425
铁55井	45-179工作站	吴铁55井场	0	10	0
45-228井	45-179工作站	吴铁30井场	0	10	0
48-47井	35-18工作站	吴48-45井场	0	50	0
45-260井	45-32工作站	吴铁44井场	0	95	0
37-2井	37-24工作站	吴洼52井场	0.54	5	0.433
铁18井	45-32工作站	吴铁18井场	0	80	0
铁23井	37-24工作站	吴铁23井场	0	65	0
37-220井	37-101工作站	吴37-218井场	0	26	0
50-151井	50-68工作站	吴50-149井场	0.54	78	0.102
48-54井	35-18工作站	吴48-54井场	24.3	99	0.204
48-55井	35-18工作站	吴48-54井场	0	75	0
45-245井	45-125工作站	吴45-244井场	0	65	0
50-152井	50-68工作站	吴50-149井场	0	100	0
45-247井	45-125工作站	吴45-244井场	0	70	0
35-235井	35-18工作站	吴35-231井场	2.37	99	0.017
50-162井	35-18工作站	吴铁54井场	0	35	0
50-159井	35-18工作站	吴铁54井场	0	40	0
铁54井	35-18工作站	吴铁54井场	2.49	69	0.654
48-57井	35-18工作站	吴48-54井场	0	50	0
45-135井	45-125工作站	吴铁34井场	0.32	10	0.246
35-220井	35-18工作站	吴35-216井场	0	35	0
50-163井	35-18工作站	吴铁54井场	1.4	55	0.535
37-235井	37-24工作站	吴洼26井场	0	55	0
37-236井	37-24工作站	吴洼26井场	0	5	0
45-232井	45-179工作站	吴铁37井场	0.54	7	0.425
45-271井	45-125工作站	吴铁58井场	0	54	0
48-58井	35-18工作站	吴48-54井场	0	70	0
35-216井	35-18工作站	吴35-216井场	0	5	0
35-208井	37-24工作站	吴35-204井场	0	90	0
35-206井	37-24工作站	吴35-204井场	0	40	0
50-171井	35-18工作站	吴50-167井场	4.64	90	0.391
35-207井	37-24工作站	吴35-204井场	0	80	0
35-217井	35-18工作站	吴35-216井场	1.09	6	0.867
50-172井	35-18工作站	吴50-167井场	0	98	0
35-192井	35-18工作站	吴35-201井场	1.3	42	0.637
35-250井	35-18工作站	吴35-177井场	0.44	100	0
50-174井	35-18工作站	吴50-167井场	1.62	15	1.173
35-194井	35-18工作站	吴35-201井场	0	10	0
35-249井	35-18工作站	吴35-177井场	0	38	0
50-169井	35-18工作站	吴50-167井场	1.41	93	0.085
37-255井	37-24工作站	吴洼24井场	0	100	0
37-246井	37-24工作站	吴铁1井场	2.92	9	2.261
37-245井	37-24工作站	吴铁1井场	2.8	30	1.666
50-176井	50-68工作站	吴50-175井场	7.56	100	0
37-247井	37-24工作站	吴铁1井场	0	5	0
50-178井	50-68工作站	吴50-175井场	2.38	82	0.366
35-229井	35-18工作站	吴铁60井场	1.08	5	0.875
35-239井	35-18工作站	吴35-239井场	0	90	0
45-277井	45-179工作站	吴45-202井场	1.08	55	0.417
50-179井	50-68工作站	吴50-175井场	1.62	5	1.309
50-180井	50-68工作站	吴50-175井场	0.54	100	0
45-276井	45-179工作站	吴45-202井场	1.62	58	0.578
50-181井	50-68工作站	吴50-175井场	0.75	11	0.57
45-274井	45-179工作站	吴45-202井场	2.38	59	0.833
50-182井	50-68工作站	吴50-175井场	0.87	5	0.705
37-264井	37-24工作站	吴洼65-1井场	0	98	0
35-245井	35-18工作站	吴50-167井场	2.59	6	2.066
37-266井	37-24工作站	吴洼65-1井场	2.16	65	0.646
45-275井	45-179工作站	吴45-202井场	2.81	57	1.029
37-265井	37-24工作站	吴洼65-1井场	0	65	0
45-252井	45-179工作站	吴45-252井场	0.43	37	0.23
35-252井	35-18工作站	吴35-177井场	0	90	0
50-202井	50-68工作站	吴50-202井场	3.45	94	0.178
45-254井	45-179工作站	吴45-252井场	0.43	6	0.34
45-217井	45-179工作站	吴45-217井场	2.16	10	1.649
35-242井	35-18工作站	吴35-239井场	1.94	4	1.581
45-218井	45-179工作站	吴45-217井场	1.73	8	1.352
35-243井	35-18工作站	吴35-239井场	0.86	5	0.697
45-255井	45-179工作站	吴45-252井场	0	5	0
45-225井	45-179工作站	吴45-217井场	1.08	6	0.867
35-191井	35-18工作站	吴35-201井场	1.95	13	1.445
37-241井	37-24工作站	吴铁70井场	3.12	5	2.516
35-246井	35-18工作站	吴35-239井场	1.19	6	0.952
50-203井	50-68工作站	吴50-202井场	1.19	62	0.382
50-173井	35-18工作站	吴50-167井场	2.48	40	1.267
37-238井	37-24工作站	吴铁70井场	3.24	7	2.558
37-263井	37-24工作站	吴洼65-1井场	0	58	0
37-239井	37-24工作站	吴铁70井场	1.62	40	0.825
45-219井	45-179工作站	吴45-217井场	1.51	6	1.207
45-256井	45-179工作站	吴45-252井场	0	0	0
37-240井	37-24工作站	吴铁70井场	10.8	83	1.564
35-265井	35-18工作站	吴35-258井场	1.62	51	0.672
35-244井	35-18工作站	吴35-239井场	0.54	5	0.433
45-220井	45-179工作站	吴45-217井场	1.73	10	1.326
35-259井	35-18工作站	吴35-258井场	1.41	98	0.025
35-264井	35-18工作站	吴35-258井场	5.4	100	0
35-263井	35-18工作站	吴35-258井场	0	55	0
35-258井	35-18工作站	吴35-258井场	3.35	100	0
45-221井	45-179工作站	吴45-217井场	2.81	28	1.717
50-191井	50-68工作站	吴50-191井场	1.84	77	0.357
50-192井	50-68工作站	吴50-191井场	0.43	10	0.331
45-224井	45-179工作站	吴45-217井场	1.73	8	1.352
50-193井	50-68工作站	吴50-191井场	6.78	67	1.904
50-199井	50-68工作站	吴50-191井场	12.83	60	4.361
45-223井	45-179工作站	吴45-217井场	1.73	6	1.385
50-198井	50-68工作站	吴50-199井场	1.62	5	1.309
45-300井	45-32工作站	吴铁67井场	0.32	10	0.246
45-301井	45-32工作站	吴铁67井场	0.2	10	0.153
37-242井	37-24工作站	吴铁70井场	0	100	0
50-183井	50-68工作站	吴50-183井场	0	100	0
铁平3井	37-24工作站	吴洼52井场	7.56	15	5.465
35-261井	35-18工作站	吴35-258井场	3.14	100	0
35-280井	50-68工作站	吴铁50井场	0.54	6	0.433
50-184井	50-68工作站	吴50-183井场	0	100	0
35-281井	50-68工作站	吴铁50井场	0.86	20	0.586
35-262井	35-18工作站	吴35-258井场	0.54	20	0.366
37-237井	37-24工作站	吴铁70井场	0	90	0
37-267井	12-176工作站	吴洼72井场	3.35	5	2.703
35-282井	50-68工作站	吴铁50井场	0.43	18	0.297
35-283井	50-68工作站	吴铁50井场	1.3	5	1.054
50-194井	50-68工作站	吴50-191井场	5.83	100	0
35-285井	50-68工作站	吴铁50井场	1.08	17	0.765
35-312井	45-179工作站	吴35-312井场	0	10	0
35-288井	50-68工作站	吴35-288井场	1.62	15	1.173
35-284井	50-68工作站	吴铁50井场	0	100	0
35-304井	45-179工作站	吴铁68井场	1.94	55	0.74
35-313井	45-179工作站	吴35-312井场	0.97	15	0.697
45-279井	45-125工作站	吴45-278井场	9.39	92	0.637
35-320井	45-179工作站	吴铁探11井场	0.44	91	0.034
35-293井	50-68工作站	吴35-288井场	0.65	6	0.519
35-305井	45-179工作站	吴铁68井场	0	44	0
35-402井	35-18工作站	吴35-400井场	0	30	0
35-254井	35-18工作站	吴35-177井场	0.54	5	0.433
35-306井	45-179工作站	吴铁68井场	1.08	40	0.552
35-291井	50-68工作站	吴35-288井场	0.75	6	0.603
35-401井	35-18工作站	吴35-400井场	0.76	10	0.578
35-289井	50-68工作站	吴35-288井场	0	100	0
45-278井	45-125工作站	吴45-278井场	0	55	0
45-412井	45-179工作站	吴45-412井场	0.76	52	0.306
45-194井	45-179工作站	吴45-192井场	0	18	0
37-270井	12-176工作站	吴洼72井场	1.51	5	1.215
45-195井	45-179工作站	吴45-192井场	0.86	23	0.561
37-225井	37-24工作站	吴洼52井场	0	12	0
45-196井	45-179工作站	吴45-192井场	0	84	0
50-200井	50-68工作站	吴50-199井场	1.94	6	1.547
50-201井	50-68工作站	吴50-199井场	0.11	8	0.085
37-226井	37-24工作站	吴洼52井场	0.54	5	0.433
37-269井	12-176工作站	吴洼72井场	0	100	0
37-227井	37-24工作站	吴洼52井场	0.54	5	0.433
洼83井	37-24工作站	吴洼83井场	3.78	5	3.051
45-480井	45-125工作站	吴45-480井场	1.08	25	0.689
45-481井	45-125工作站	吴45-480井场	0.54	31	0.315
45-290井	45-32工作站	吴铁48井场	0.86	20	0.586
37-228井	37-24工作站	吴洼52井场	0.86	5	0.697
50-208井	50-68工作站	吴50-208井场	1.41	20	0.96
35-450井	35-18工作站	吴35-450井场	0	50	0
45-280井	45-125工作站	吴45-280井场	0.86	39	0.442
45-420井	45-179工作站	吴45-185井场	11.56	24	7.471
45-282井	45-125工作站	吴45-278井场	0.65	53	0.264
37-243井	37-24工作站	吴铁70井场	0	100	0
45-302井	45-32工作站	吴铁67井场	0.32	10	0.246
45-401井	45-179工作站	吴铁24井场	1.95	99	0.017
洼84井	37-24工作站	吴洼84井场	1.08	5	0.875
洼78井	12-176工作站	吴洼78井场	2.44	10	1.87
洼77井	12-176工作站	吴洼77井场	0	30	0
洼79井	12-176工作站	吴洼79井场	0.51	35	0.281
35-294井	50-68工作站	吴35-288井场	0.76	5	0.612
50-186井	50-68工作站	吴50-183井场	2.16	80	0.366
50-209井	50-68工作站	吴50-208井场	1.62	22	1.071
45-400井	45-179工作站	吴铁24井场	0	40	0
35-296井	50-68工作站	吴35-288井场	0	100	0
45-291井	45-32工作站	吴铁48井场	1.4	15	1.012
45-350井	45-179工作站	吴45-350井场	3.03	55	1.156
35-403井	35-18工作站	吴35-400井场	1.3	10	0.994
45-281井	45-125工作站	吴45-278井场	0	65	0
45-352井	45-179工作站	吴45-350井场	1.84	23	1.207
50-211井	50-68工作站	吴50-208井场	1.94	30	1.156
50-187井	50-68工作站	吴50-183井场	0	100	0
45-411井	45-179工作站	吴45-412井场	0.43	54	0.17
45-351井	45-179工作站	吴45-350井场	0.75	15	0.544
45-283井	45-125工作站	吴45-278井场	0.76	38	0.399
35-286井	50-68工作站	吴铁50井场	0	30	0
35-451井	35-18工作站	吴35-450井场	1.29	9	0.994
50-188井	50-68工作站	吴50-183井场	0	99	0
50-212井	50-68工作站	吴50-208井场	1.3	38	0.689
45-410井	45-179工作站	吴45-412井场	0.43	78	0.077
45-353井	45-179工作站	吴45-350井场	1.08	18	0.756
35-322井	45-179工作站	吴铁探11井场	0	68	0
45-197井	45-179工作站	吴45-192井场	0.22	75	0.051
35-330井	50-68工作站	吴35-330井场	0.65	37	0.348
45-403井	45-179工作站	吴铁24井场	0	95	0
45-483井	45-125工作站	吴45-480井场	0	100	0
35-452井	35-18工作站	吴35-450井场	5.18	97	0.136
35-323井	45-179工作站	吴铁探11井场	1.08	33	0.612
35-287井	50-68工作站	吴铁50井场	1.08	100	0
35-332井	50-68工作站	吴35-330井场	0.76	6	0.603
35-297井	50-68工作站	吴35-288井场	1.08	13	0.799
50-214井	50-68工作站	吴50-208井场	0.43	35	0.238
35-453井	35-18工作站	吴35-450井场	0.87	37	0.468
35-324井	45-179工作站	吴铁探11井场	0.76	35	0.417
50-215井	50-68工作站	吴50-208井场	0.86	30	0.51
35-268井	50-68工作站	吴铁探4井场	1.3	11	0.986
35-454井	35-18工作站	吴35-450井场	1.84	33	1.046
35-333井	50-68工作站	吴35-330井场	0.76	19	0.527
35-270井	50-68工作站	吴铁探4井场	1.08	39	0.561
35-310井	45-179工作站	吴铁68井场	0	89	0
35-455井	35-18工作站	吴35-450井场	1.4	95	0.06
37-271井	12-176工作站	吴洼72井场	1.19	5	0.96
45-354井	45-179工作站	吴45-350井场	2.81	45	1.317
37-272井	12-176工作站	吴洼72井场	1.4	5	1.131
35-334井	50-68工作站	吴35-330井场	0.76	20	0.519
37-279井	12-176工作站	吴37-278井场	0	5	0
37-273井	12-176工作站	吴洼72井场	0.65	5	0.527
37-274井	12-176工作站	吴洼72井场	0.87	5	0.705
35-335井	50-68工作站	吴35-330井场	0.54	52	0.221
35-311井	45-179工作站	吴铁68井场	1.08	85	0.136
35-316井	45-179工作站	吴35-312井场	0.97	15	0.697
37-280井	12-176工作站	吴37-278井场	0	100	0
45-413井	45-179工作站	吴45-412井场	0	95	0
35-267井	50-68工作站	吴铁探4井场	0.76	47	0.34
45-423井	45-179工作站	吴45-185井场	0.86	60	0.289
35-317井	45-179工作站	吴35-312井场	2.06	15	1.488
37-278井	12-176工作站	吴37-278井场	0	100	0
35-315井	45-179工作站	吴35-312井场	0.97	15	0.697
35-326井	45-179工作站	吴铁探11井场	0.76	28	0.468
35-309井	45-179工作站	吴铁68井场	0	0	0
35-325井	45-179工作站	吴铁探11井场	0.65	33	0.374
35-318井	45-179工作站	吴35-312井场	2.06	15	1.488
35-319井	45-179工作站	吴铁探11井场	0.65	36	0.357
45-422井	45-179工作站	吴45-185井场	0.97	68	0.264
45-425井	45-179工作站	吴45-185井场	1.4	85	0.178
35-331井	50-68工作站	吴35-330井场	0	0	0
50-185井	50-68工作站	吴50-183井场	0	100	0
洼87井	12-176工作站	吴洼78井场	0	100	0
50-350井	50-68工作站	吴50-350井场	0	100	0
35-273井	50-68工作站	吴铁探4井场	1.41	27	0.875
35-274井	50-68工作站	吴铁探4井场	1.95	22	1.292
45-427井	45-179工作站	吴45-185井场	1.94	48	0.858
35-271井	50-68工作站	吴铁探4井场	6.37	22	4.224
50-234井	50-68工作站	吴50-350井场	3.14	28	1.921
50-231井	50-68工作站	吴50-350井场	0.54	97	0.017
50-235井	50-68工作站	吴50-231井场	1.94	32	1.122
50-237井	50-68工作站	吴50-231井场	1.73	21	1.165
48-61井	35-18工作站	吴48-61井场	4.21	19	2.899
50-236井	50-68工作站	吴50-231井场	4.64	100	0
50-233井	50-68工作站	吴50-231井场	1.84	36	1.003
35-272井	50-68工作站	吴铁探4井场	0.87	55	0.331
50-226井	50-68工作站	吴50-223井场	2.05	26	1.292
48-62井	35-18工作站	吴48-61井场	4.43	38	2.337
50-227井	50-68工作站	吴50-223井场	2.81	73	0.646
50-223井	50-68工作站	吴50-223井场	2.91	48	1.283
12-4001井	12-176工作站	吴洼56井场	1.88	25	1.198
50-225井	50-68工作站	吴50-223井场	3.02	28	1.845
12-4019井	12-176工作站	吴洼78井场	5.98	93	0.357
50-224井	50-68工作站	吴50-223井场	0	49	0
37-300井	12-176工作站	吴37-300井场	0	5	0
12-4100井	12-176工作站	吴12-4100井场	0.54	45	0.255
45-426井	45-179工作站	吴45-185井场	5.07	100	0
48-64井	35-18工作站	吴48-61井场	1.84	53	0.731
37-316井	37-24工作站	吴洼83井场	3.24	15	2.337
35-457井	35-18工作站	吴35-456井场	2.59	52	1.054
12-4080井	12-176工作站	吴12-4080井场	9.07	91	0.697
37-350井	12-176工作站	吴洼72井场	4.32	5	3.485
50-230井	50-68工作站	吴50-223井场	8.86	90	0.756
37-317井	37-24工作站	吴洼83井场	1.73	23	1.131
37-315井	37-24工作站	吴洼83井场	4.86	5	3.927
37-351井	12-176工作站	吴洼72井场	2.06	36	1.122
12-4018井	12-176工作站	吴洼78井场	6.14	95	0.264
37-314井	37-24工作站	吴洼83井场	0.86	5	0.697
37-276井	12-176工作站	吴洼72井场	0.86	15	0.621
37-352井	12-176工作站	吴洼72井场	2.8	37	1.496
37-320井	37-24工作站	吴洼83井场	13.5	100	0
50-232井	50-68工作站	吴50-231井场	4.97	77	0.969
48-63井	35-18工作站	吴48-61井场	5.18	75	1.105
50-244井	50-68工作站	吴50-239井场	0.54	50	0.23
35-308井	45-179工作站	吴铁68井场	6.69	100	0
35-420井	35-18工作站	吴35-420井场	3.13	35	1.725
50-245井	50-68工作站	吴50-239井场	2.16	8	1.692
37-275井	12-176工作站	吴洼72井场	5.51	100	0
37-321井	37-24工作站	吴洼83井场	4.54	84	0.621
50-240井	50-68工作站	吴50-239井场	1.08	90	0.093
12-4079井	12-176工作站	吴12-4080井场	2.27	5	1.836
37-306井	12-176工作站	吴37-300井场	0.97	30	0.578
37-327井	12-176工作站	吴37-326井场	2.91	98	0.051
12-4105井	12-176工作站	吴洼79井场	0.34	15	0.246
35-421井	35-18工作站	吴35-420井场	3.78	18	2.635
洼88井	12-176工作站	吴洼88井场	11.88	90	1.012
37-313井	37-24工作站	吴洼83井场	12.96	20	8.814
12-4081井	12-176工作站	吴12-4080井场	8.75	40	4.462
37-326井	12-176工作站	吴37-326井场	0	10	0
37-302井	12-176工作站	吴37-300井场	3.13	30	1.862
12-4050井	12-176工作站	吴洼77井场	11.12	55	4.25
37-318井	37-24工作站	吴洼83井场	3.24	22	2.15
12-4051井	12-176工作站	吴洼77井场	9.5	70	2.422
12-4160井	12-176工作站	吴12-4160井场	0	100	0
37-312井	37-24工作站	吴洼83井场	7.56	89	0.705
12-4082井	12-176工作站	吴12-4080井场	0.32	34	0.178
37-322井	37-24工作站	吴洼83井场	14.04	100	0
12-4101井	12-176工作站	吴12-4100井场	0	100	0
37-311井	37-24工作站	吴洼83井场	11.02	5	8.9
37-331井	12-176工作站	吴37-326井场	7.46	100	0
37-328井	12-176工作站	吴37-326井场	7.67	100	0
